ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
ALAMO EL,Texas,484578005197,4845780,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,612,628,585,569,560,–,†,†,†,2,2,10,2,33,32,30,34,187,189,173,145,72,67,69,78,318,338,303,310,35.90,36.00,†,37.00,27.40
ALAMO EL                                          ,Texas,481830001659,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,439,427,414,430,419,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,437,423,410,425,="0",2,2,2,2,2,2,3,33.40,33.00,†,24.00,28.70
ALAMO HEIGHTS H S,Texas,480759000045,4807590,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,1033,990,1002,1065,1076,–,†,†,†,="0",1,5,6,10,6,9,5,257,244,223,250,23,24,22,23,743,715,743,781,79.00,79.00,†,77.00,73.90
ALAMO HEIGHTS J H,Texas,480759000046,4807590,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,854,794,751,719,711,–,†,†,†,1,="0",1,†,4,5,7,6,226,213,187,168,26,14,13,20,597,562,543,525,52.10,52.00,†,51.00,53.20
ALAMO J H,Texas,483057003430,4830570,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,973,977,934,963,924,–,†,†,†,2,1,1,†,4,6,4,9,360,355,351,321,78,85,70,78,529,530,508,555,61.10,61.00,†,59.00,62.70
ALAMO MIDDLE,Texas,483486006597,4834860,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,†,862,783,781,†,†,–,†,†,†,="0",="0",="0",†,2,2,3,†,823,737,731,†,2,3,2,†,35,41,45,†,40.60,41.00,†,†,†
ALAN B SHEPARD MIDDLE,Texas,484068004605,4840680,1-Large city,1-Large city,1-Large city,1-Large city,†,647,620,555,587,399,–,†,†,†,="0",1,1,†,4,7,2,3,512,491,436,450,35,29,23,35,96,92,93,99,33.60,34.00,†,35.00,28.10
ALANREED EL,Texas,480762000051,4807620,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,18,18,28,16,37,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,1,1,1,1,="0",="0",="0",†,17,17,27,15,4.00,4.00,†,4.00,2.00
ALBA-GOLDEN EL,Texas,480765000052,4807650,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,322,326,319,321,312,–,†,†,†,1,="0",="0",†,="0",="0",1,1,6,10,10,10,="0",="0",1,†,315,316,307,310,22.30,22.00,†,16.00,18.00
ALBA-GOLDEN H S,Texas,480765000053,4807650,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,238,233,242,250,249,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,6,9,10,7,="0",="0",="0",†,232,224,232,243,20.10,20.00,†,22.00,17.50
ALBANY JR-SR H S,Texas,480768000054,4807680,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,224,222,236,239,268,–,†,†,†,1,="0",="0",†,="0",="0",1,†,24,25,24,26,="0",1,3,4,199,196,208,209,18.00,18.00,†,21.00,17.80
ALBERT C WILLIAMS EL,Texas,481482005676,4814820,6-Small town,6-Small town,6-Small town,6-Small town,†,420,402,370,319,316,–,†,†,†,="0",="0",="0",1,5,5,4,7,14,7,6,5,92,87,79,68,309,303,281,238,22.80,23.00,†,18.00,18.30
ALBERTO AND CELIA BARRERA EL,Texas,483714004175,4837140,6-Small town,6-Small town,6-Small town,6-Small town,†,316,477,456,422,399,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,315,476,455,421,="0",="0",="0",†,1,1,1,1,25.90,26.00,†,25.00,20.70
ALBRIGHT MIDDLE,Texas,480783005840,4807830,1-Large city,1-Large city,1-Large city,1-Large city,†,1318,1229,896,826,763,–,†,†,†,="0",="0",="0",†,214,218,168,153,214,170,109,78,200,154,89,80,690,687,530,515,79.00,79.00,†,57.00,60.10
ALCOTT EL,Texas,482364002385,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,759,707,758,735,744,–,†,†,†,="0",2,="0",†,="0",="0",="0",†,37,17,18,17,719,686,739,716,3,2,1,2,39.00,39.00,†,36.00,36.00
ALDERSON J H,Texas,482850003171,4828500,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,351,326,416,443,481,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,140,142,169,169,196,176,234,260,15,8,13,14,29.30,29.00,†,40.00,38.70
ALDINE H S,Texas,480771000057,4807710,1-Large city,1-Large city,1-Large city,1-Large city,†,2489,2450,2518,2848,2797,–,†,†,†,1,="0",2,3,138,134,165,182,685,583,511,558,749,714,688,775,916,1019,1152,1330,143.40,143.00,†,144.00,147.00
ALDINE MIDDLE,Texas,480771000058,4807710,1-Large city,1-Large city,1-Large city,1-Large city,†,1249,1189,1012,971,1031,–,†,†,†,1,1,="0",†,16,16,13,22,400,348,277,231,517,488,395,376,315,336,327,342,64.40,64.00,†,51.00,60.10
ALDRIDGE EL,Texas,483510003954,4835100,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,473,507,485,450,512,–,†,†,†,="0",="0",="0",†,89,52,53,27,70,60,56,34,37,20,27,15,320,375,349,374,31.20,38.00,†,28.00,24.60
ALEDO H S,Texas,480778000089,4807780,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,488,530,485,440,456,–,†,†,†,2,="0",="0",†,3,5,3,3,13,16,14,10,1,1,2,†,469,508,466,427,29.80,30.00,†,30.00,28.80
ALEDO MIDDLE,Texas,480778000090,4807780,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,300,253,252,359,373,–,†,†,†,1,1,1,1,4,3,1,3,9,7,8,10,="0",1,1,1,286,241,241,344,16.80,17.00,†,13.00,16.00
ALEX SANGER PREPARATORY SCHOOL,Texas,481623001350,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,478,464,517,447,408,–,†,†,†,1,1,="0",4,9,3,2,5,91,82,60,57,231,236,293,242,146,142,162,139,34.50,35.00,†,25.00,23.60
ALEX W SPENCE TALENTED/GIFTED ACADEMY,Texas,481623001359,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,682,657,712,671,740,–,†,†,†,3,4,5,4,45,45,57,83,448,415,443,393,111,114,117,98,75,79,90,93,56.60,57.00,†,51.00,52.00
ALEXANDER EL,Texas,480783005944,4807830,1-Large city,1-Large city,1-Large city,1-Large city,†,844,805,828,721,833,–,†,†,†,="0",="0",1,†,187,193,173,165,135,138,152,97,157,131,145,101,365,343,357,358,52.00,52.00,†,38.00,51.60
ALFRED SORENSEN EL,Texas,483486003923,4834860,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,465,475,450,609,607,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,448,458,437,591,="0",="0",="0",†,17,17,13,18,23.40,23.00,†,29.00,26.60
ALICE H S,Texas,480780000092,4807800,6-Small town,6-Small town,6-Small town,6-Small town,†,1132,1240,1249,1302,1279,–,†,†,†,="0",="0",="0",†,3,3,3,3,926,974,1013,1035,6,9,5,3,197,254,228,261,62.90,63.00,†,75.00,73.50
ALICE JOHNSON J H,Texas,481359000853,4813590,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,781,773,775,756,831,–,†,†,†,="0",="0",="0",†,20,25,20,15,190,174,160,130,74,70,75,74,497,504,520,537,48.10,48.00,†,49.00,56.50
ALICE MOORE ALEXANDER,Texas,481674001451,4816740,5-Large town,5-Large town,5-Large town,5-Large town,†,790,756,706,636,863,–,†,†,†,3,2,1,1,10,5,6,7,228,195,186,128,81,99,95,77,468,455,418,423,41.50,42.00,†,40.00,35.80
ALICE PONDER EL,Texas,482892003269,4828920,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,768,753,684,685,640,–,†,†,†,7,9,9,5,8,5,5,5,61,47,32,38,39,37,33,37,653,655,605,600,41.00,41.00,†,37.00,34.50
ALIEF LEARNING CTR,Texas,480783005638,4807830,1-Large city,1-Large city,1-Large city,1-Large city,†,60,43,28,34,33,–,†,†,†,="0",1,="0",†,2,3,1,3,9,6,1,6,26,17,10,7,23,16,16,18,14.00,14.00,†,12.00,14.10
ALIEF MIDDLE,Texas,480783000105,4807830,1-Large city,1-Large city,1-Large city,1-Large city,†,1397,1258,1178,1063,1114,–,†,†,†,="0",="0",2,1,257,221,220,228,384,290,230,178,342,319,267,194,414,428,459,462,82.30,82.00,†,71.00,78.20
ALKEK EL,Texas,480936000394,4809360,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,713,698,678,655,617,–,†,†,†,="0",="0",="0",†,="0",2,3,1,126,136,136,122,5,5,6,†,582,555,533,532,43.30,43.00,†,37.00,27.90
ALLAMOORE EL,Texas,480786000116,4807860,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,2,3,3,5,7,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,="0",="0",1,†,="0",="0",="0",†,2,3,2,5,="0.90",1.00,†,1.00,1.00
ALLEN EL,Texas,482364002386,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,330,350,319,340,432,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,55,34,26,26,264,305,283,308,11,11,10,6,18.00,18.00,†,20.00,22.00
ALLEN EL,Texas,481527001038,4815270,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,586,575,578,580,639,–,†,†,†,="0",="0",="0",†,="0",="0",1,†,545,546,548,557,6,4,5,1,35,25,24,22,37.70,38.00,†,34.00,35.90
ALLEN EL,Texas,483312003707,4833120,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,515,506,501,503,476,–,†,†,†,="0",="0",="0",†,1,2,4,5,372,359,349,342,31,20,24,27,111,125,124,129,24.10,24.00,†,29.00,29.40
ALLEN ELEMENTARY,Texas,484512005144,4845120,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,8.90
ALLEN H S,Texas,480789000117,4807890,6-Small town,6-Small town,6-Small town,6-Small town,†,1445,1356,1349,1282,1236,–,†,†,†,18,14,11,8,10,8,8,6,45,36,31,35,40,47,51,39,1332,1251,1248,1194,14.50,84.00,†,77.00,57.50
ALLIENE MULLENDORE EL,Texas,481023000483,4810230,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,364,381,424,399,399,–,†,†,†,="0",1,2,1,4,7,11,14,21,25,27,17,3,4,3,3,336,344,381,364,19.60,20.00,†,21.00,17.20
ALLISON EL,Texas,480894000291,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,597,528,556,601,485,–,†,†,†,3,="0",="0",1,="0",1,="0",1,529,474,493,530,41,38,41,50,24,15,22,19,41.70,42.00,†,49.00,36.00
ALLISON EL,Texas,480792000121,4807920,†,†,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,†,38,43,39,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,38,43,†,†,†,1.00,6.00
ALLISON SCHOOL                                    ,Texas,480792000122,4807920,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,79,34,32,37,38,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,="0",="0",="0",†,="0",="0",="0",†,79,34,32,37,15.10,8.00,†,13.00,8.50
ALMEDA EL,Texas,482364002387,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,422,365,351,310,315,–,†,†,†,="0",="0",="0",†,12,6,4,4,237,216,207,161,49,38,53,51,124,105,87,94,19.50,20.00,†,19.00,18.60
ALOE EL,Texas,484415005000,4844150,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,512,570,587,570,575,–,†,†,†,="0",="0",="0",†,2,2,3,3,178,203,219,213,4,6,5,6,328,359,360,348,31.90,32.00,†,30.00,26.30
ALONSO S PERALES EL,Texas,481815001606,4818150,1-Large city,1-Large city,1-Large city,1-Large city,†,704,713,681,688,710,–,†,†,†,="0",2,2,3,1,="0",="0",†,700,706,676,683,1,2,1,1,2,3,2,1,35.50,35.00,†,36.00,38.70
ALPINE EL,Texas,480795000123,4807950,6-Small town,6-Small town,6-Small town,6-Small town,†,514,611,568,562,539,–,†,†,†,3,2,4,2,1,1,="0",3,334,342,312,283,3,4,2,3,255,262,250,271,39.80,40.00,†,40.00,30.00
ALPINE H S,Texas,480795000124,4807950,6-Small town,6-Small town,6-Small town,6-Small town,†,318,331,346,366,333,–,†,†,†,="0",="0",="0",†,="0",="0",2,2,178,174,189,197,5,1,1,2,135,156,154,165,27.30,27.00,†,27.00,23.50
ALPINE MIDDLE,Texas,480795000125,4807950,6-Small town,6-Small town,6-Small town,6-Small town,†,237,243,242,250,260,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,123,127,130,126,1,2,2,3,113,114,110,121,16.20,16.00,†,18.00,18.60
ALTA LOMA EL,Texas,483870004296,4838700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,538,492,495,382,404,–,†,†,†,="0",="0",="0",†,5,5,9,6,241,217,223,168,33,33,33,16,259,237,230,192,26.80,27.00,†,25.00,20.60
ALTA MESA EL                                      ,Texas,484596005233,4845960,1-Large city,1-Large city,1-Large city,1-Large city,†,298,288,322,327,294,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,10,11,12,6,275,262,304,314,13,15,6,7,16.00,16.00,†,16.00,19.00
ALTA VISTA EL                                     ,Texas,480744000011,4807440,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,450,448,434,397,401,–,†,†,†,1,="0",1,†,="0",1,1,2,149,118,118,101,29,20,24,26,271,309,290,268,26.30,26.00,†,23.00,23.10
ALTA VISTA EL,Texas,481830001660,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,499,558,521,498,540,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,489,553,513,490,9,2,5,3,1,3,3,5,36.00,36.00,†,27.00,35.00
ALTA VISTA EL,Texas,484428005028,4844280,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,308,197,404,380,393,–,†,†,†,="0",="0",="0",†,1,3,7,2,92,62,107,95,103,55,149,142,112,77,141,141,19.60,20.00,†,24.00,18.00
ALTER ED CTR,Texas,481800001596,4818000,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,33,34,35,18,48,–,†,†,†,="0",1,="0",†,="0",="0",="0",†,17,16,18,10,3,2,3,3,13,15,14,5,14.10,14.00,†,66.00,="0.00"
ALTER LRN CTR,Texas,481611006670,4816110,1-Large city,1-Large city,†,†,†,20,="0",†,†,†,–,†,†,†,="0",="0",†,†,2,="0",†,†,1,="0",†,†,="0",="0",†,†,17,="0",†,†,4.00,4.00,†,†,†
ALTER MIDDLE,Texas,483294006889,4832940,1-Large city,†,†,†,†,4,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,1,†,†,†,="0",†,†,†,3,†,†,†,4.00,†,†,†,†
ALTER SCH,Texas,481020006652,4810200,6-Small town,6-Small town,†,†,†,26,29,†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,16,17,†,†,1,4,†,†,9,8,†,†,2.00,2.00,†,†,†
ALTER SCHOOL,Texas,482616005530,4826160,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,5,21,13,13,14,–,†,†,†,="0",="0",="0",1,="0",="0",="0",†,="0",1,1,2,2,1,="0",2,3,19,12,8,5.00,5.00,†,5.00,="0.00"
ALTERNATIVE COOP,Texas,480000606812,4800006,7-Rural - outside CBSA/MSA,†,†,†,†,5,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,1,†,†,†,1,†,†,†,3,†,†,†,1.00,†,†,†,†
ALTERNATIVE COOP ACAD CTR,Texas,481623006087,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,149,94,120,48,92,–,†,†,†,2,="0",="0",†,2,1,2,†,73,40,54,15,43,31,41,26,29,22,23,7,6.70,7.00,†,14.00,2.90
ALTERNATIVE CTR,Texas,483486006774,4834860,†,4-Urban fringe of midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,2.00,†,†,†
ALTERNATIVE CTR,Texas,481170006829,4811700,6-Small town,†,†,†,†,21,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,5,†,†,†,2,†,†,†,14,†,†,†,21.00,†,†,†,†
ALTERNATIVE CTR               ,Texas,484372006923,4843720,6-Small town,†,†,†,†,697,†,†,†,†,–,†,†,†,1,†,†,†,="0",†,†,†,532,†,†,†,1,†,†,†,163,†,†,†,44.60,†,†,†,†
ALTERNATIVE CTR,Texas,482391006714,4823910,†,3-Urban fringe of large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,7.00,†,†,†
ALTERNATIVE CTR,Texas,483240006763,4832400,†,1-Large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1.00,†,†,†
ALTERNATIVE CTR,Texas,483510006776,4835100,†,3-Urban fringe of large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,6.00,†,†,†
ALTERNATIVE CTR,Texas,481815006692,4818150,†,1-Large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,5.00,†,†,†
ALTERNATIVE ED CTR,Texas,482526006729,4825260,†,3-Urban fringe of large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1.00,†,†,†
ALTERNATIVE ED CTR,Texas,483879006784,4838790,†,4-Urban fringe of midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,2.00,†,†,†
ALTERNATIVE ED CTR            ,Texas,482142006113,4821420,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,50,22,22,18,7,–,†,†,†,="0",="0",1,†,="0",="0",="0",†,23,10,7,5,3,3,1,3,24,9,13,10,3.40,3.00,†,="0.00",="0.00"
ALTERNATIVE FLEX ED,Texas,481248006661,4812480,†,6-Small town,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1.00,†,†,†
ALTERNATIVE H S,Texas,483312006149,4833120,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,53,59,51,42,45,–,†,†,†,="0",="0",="0",†,="0",1,="0",†,40,38,36,26,2,11,2,3,11,9,13,13,10.10,10.00,†,12.00,8.80
ALTERNATIVE LEARNING CENTER,Texas,482658006739,4826580,6-Small town,6-Small town,†,†,†,62,61,†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,38,34,†,†,15,15,†,†,9,12,†,†,9.00,9.00,†,†,†
ALTERNATIVE LEARNING CTR,Texas,480894006069,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,105,146,91,73,75,–,†,†,†,="0",1,="0",†,="0",1,="0",1,49,74,48,28,44,57,40,25,12,13,3,19,15.90,16.00,†,13.00,10.50
ALTERNATIVE SCHOOL,Texas,482403006716,4824030,†,6-Small town,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,4.00,†,†,†
ALTERNATIVE SCHOOL,Texas,483104006759,4831040,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1.00,†,†,†
ALTERNATIVE SCHOOL,Texas,482667006135,4826670,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.50"
ALTERNATIVE SCHOOL,Texas,482667006742,4826670,†,3-Urban fringe of large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,2.00,†,†,†
ALTERNATIVE SCHOOL,Texas,482442006722,4824420,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,2.00,†,†,†
ALTERNATIVE SCHOOL,Texas,481770006848,4817700,4-Urban fringe of midsize city,†,†,†,†,1,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1,†,†,†,1.00,†,†,†,†
ALTERNATIVE SCHOOL,Texas,482406005506,4824060,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.00"
ALTERNATIVE SCHOOL,Texas,482406006718,4824060,†,3-Urban fringe of large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1.00,†,†,†
ALTERNATIVE SCHOOL,Texas,482028006705,4820280,2-Midsize city,2-Midsize city,†,†,†,80,18,†,†,†,–,†,†,†,="0",="0",†,†,="0",1,†,†,25,5,†,†,46,10,†,†,9,2,†,†,4.00,4.00,†,†,†
ALTERNATIVE SCHOOL,Texas,484496006802,4844960,†,6-Small town,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1.00,†,†,†
ALTERNATIVE SCHOOL,Texas,482499006278,4824990,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.00"
ALTERNATIVE SCHOOL,Texas,484415006183,4844150,†,†,†,†,†,†,†,†,†,24,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,6.00
ALTERNATIVE SCHOOL,Texas,482559006730,4825590,†,6-Small town,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,2.00,†,†,†
ALTERNATIVE SCHOOL,Texas,484068006790,4840680,1-Large city,1-Large city,†,†,†,17,="0",†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,16,="0",†,†,="0",="0",†,†,1,="0",†,†,13.70,5.00,†,†,†
ALTERNATIVE SCHOOL,Texas,481818006694,4818180,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,5.00,†,†,†
ALTERNATIVE SCHOOL,Texas,482916003290,4829160,†,†,6-Small town,6-Small town,†,†,†,12,12,14,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,8,6,†,†,4,6,†,†,†,2.00,2.00
ALTERNATIVE SCHOOL,Texas,481764006684,4817640,†,3-Urban fringe of large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,1.00,†,†,†
ALTERNATIVE SCHOOL,Texas,483870006781,4838700,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,2.00,†,†,†
ALTERNATIVE SCHOOL,Texas,483104006306,4831040,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.00"
ALTERNATIVE SCHOOL,Texas,481965006698,4819650,†,3-Urban fringe of large city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,4.00,†,†,†
ALTERNATIVE SCHOOL,Texas,482499006431,4824990,†,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,†,11,10,13,†,†,†,†,†,†,="0",="0",†,†,="0",="0",†,†,5,1,1,†,="0",1,2,†,6,8,10,†,2.00,†,3.00,†
