Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
THROCKMORTON COLLEGIATE ISD,Texas,4842780,THROCKMORTON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,241,251,250,245,249,58,45,37,32,35,1,1,0,1,3,0,2,2,2,0,22,20,21,24,25,0,0,0,0,0,218,228,227,218,220,1642000,1614000,1346000,1735000,1611000,1394000,6813,6430,5406,7199,6418,5598,0,6842
TIDEHAVEN ISD,Texas,4842810,MATAGORDA,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,997,989,1006,1012,970,132,131,114,119,103,0,0,0,0,0,0,0,0,0,0,347,321,328,317,289,64,56,62,58,60,586,612,616,637,621,5480000,5397000,4581000,5126000,4932000,4446000,5496,5457,4723,5141,4987,4584,0,4961
TIMPSON ISD,Texas,4842840,SHELBY,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,660,684,658,657,615,150,156,128,132,129,1,0,1,1,0,1,1,2,3,2,27,26,21,16,10,230,236,206,216,191,401,421,429,421,412,4913000,4981000,4039000,4847000,4858000,3202000,7444,7282,6567,7344,7102,5207,0,6552
TIOGA ISD,Texas,4842870,GRAYSON,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,137,149,140,108,95,35,40,39,20,23,1,1,1,0,0,0,0,0,0,0,17,18,16,16,8,1,1,0,0,0,118,129,123,92,87,1211000,931000,608000,1082000,1132000,537000,8839,6248,6400,7774,7497,5653,0,5942
TOLAR ISD,Texas,4842900,HOOD,2,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,425,392,353,377,323,69,54,41,43,31,1,3,0,1,0,2,1,0,0,0,24,25,20,20,9,0,0,0,0,0,398,363,333,356,314,2764000,2314000,1651000,2507000,2154000,1476000,6504,5903,5111,5899,5495,4570,0,5151
TOM BEAN ISD,Texas,4842930,GRAYSON,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,752,752,717,698,657,122,102,104,95,84,10,6,5,4,4,6,8,9,8,10,4,10,13,6,4,5,4,5,6,6,727,724,685,674,633,4692000,3732000,3280000,4031000,3430000,2732000,6239,4963,4992,5346,4553,4158,5,4705
TOMBALL ISD,Texas,4842960,HARRIS,8,8,8,7,6,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5862,5717,5527,5373,5074,633,616,565,508,475,10,8,6,9,13,53,48,35,31,25,469,424,411,363,313,206,205,199,220,214,5124,5032,4894,4750,4493,34851000,32747000,26168000,31089000,30962000,30005000,5945,5728,5157,5303,5416,5913,0,4810
TORNILLO ISD,Texas,4842990,EL PASO,2,2,2,2,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,616,546,469,448,418,43,48,34,23,18,1,1,0,0,0,0,0,0,0,0,599,526,454,430,402,6,7,2,2,1,10,12,13,16,15,4808000,3712000,2686000,4400000,3658000,3563000,7805,6799,6426,7133,6689,8524,0,5984
TRENT ISD,Texas,4843110,TAYLOR,1,1,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,157,160,154,161,168,38,33,23,25,23,0,0,0,0,0,0,0,0,0,0,16,16,15,17,19,3,0,1,1,3,138,144,141,143,140,1320000,1220000,1107000,1213000,1119000,1185000,8408,7625,6589,7656,6988,7054,0,7268
TRENTON ISD,Texas,4843140,FANNIN,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,372,373,348,335,332,62,51,48,50,52,3,2,2,3,5,0,2,2,2,2,19,26,26,27,22,8,6,7,7,8,342,337,312,296,295,2291000,2064000,1807000,2073000,2144000,1609000,6159,5534,5443,5573,5748,4846,0,5196
TRINIDAD ISD,Texas,4843170,HENDERSON,2,2,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,286,280,252,227,238,43,43,33,32,36,0,0,0,0,1,0,0,0,0,0,13,14,18,8,16,50,48,45,47,44,223,218,192,172,177,2362000,1897000,1401000,2273000,1532000,1147000,8259,6775,5887,7892,5421,4819,3,5203
TRINITY ISD,Texas,4843200,TRINITY,3,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1289,1254,1239,1237,1236,183,173,165,156,137,1,1,0,0,1,5,7,6,5,6,88,75,62,65,58,316,326,322,332,353,879,845,854,835,814,7292000,6780000,5987000,6504000,6394000,5383000,5657,5407,4844,5040,5094,4355,53,4504
TROUP ISD,Texas,4843230,SMITH,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,917,909,905,852,814,96,80,85,74,62,0,0,0,1,1,0,0,0,0,0,46,43,44,43,52,180,167,166,170,165,691,699,695,638,596,5600000,5250000,4298000,4915000,5288000,4876000,6107,5776,5280,5348,5814,5990,0,4832
TROY ISD,Texas,4843260,BELL,4,4,4,4,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1194,1174,1121,1112,1096,161,152,141,139,111,2,1,2,1,2,6,8,7,5,2,227,214,193,178,174,18,16,7,14,12,941,935,913,914,904,6712000,6057000,4901000,5748000,5404000,4626000,5621,5159,4472,4810,4585,4221,0,4523
TULIA ISD,Texas,4843320,SWISHER,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1467,1445,1422,1370,1372,310,305,286,253,254,2,3,3,2,1,1,1,2,2,2,736,702,685,644,654,123,121,134,124,122,605,618,598,598,590,8999000,8719000,7659000,9312000,8046000,6692000,6134,6034,5582,6340,5567,4878,0,5226
TULOSO-MIDWAY ISD,Texas,4843350,NUECES,5,5,5,4,5,1-Large city,1-Large city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2884,2946,2878,2837,2796,327,286,286,276,253,6,5,4,3,3,8,9,19,8,5,1513,1525,1485,1445,1467,38,38,33,30,31,1319,1369,1337,1351,1288,20368000,20101000,15019000,18239000,17884000,14442000,7062,6823,5372,6311,6060,5165,0,5819
TURKEY-QUITAQUE ISD,Texas,4843400,HALL,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,287,284,290,273,259,37,41,45,52,55,0,0,0,0,0,0,1,1,0,0,127,118,118,101,83,10,14,17,16,20,150,151,154,156,150,1828000,1719000,1635000,1815000,1709000,1464000,6369,6053,6313,6314,5982,5653,0,5770
TYLER ISD,Texas,4843470,SMITH,28,28,28,27,27,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,16534,16656,16725,16668,16515,1396,1366,1356,1409,1423,17,18,21,17,22,124,123,103,95,86,3062,2890,2686,2491,2288,5941,5939,5828,5750,5659,7390,7686,8102,8315,8460,87068000,82428000,69579000,80853000,79345000,62352000,5266,4949,4213,4890,4764,3775,1,4676
UNION GROVE ISD,Texas,4843530,UPSHUR,2,2,2,2,2,4-Urban fringe of midsize city,4-Urban fringe of midsize city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,723,728,665,633,617,87,84,86,86,73,1,2,2,1,3,0,0,0,0,0,10,18,14,9,10,4,2,0,0,0,708,706,649,623,604,4192000,4412000,3572000,4313000,3751000,5818000,5798,6060,5789,5965,5152,9429,0,5344
UNION HILL ISD,Texas,4843560,UPSHUR,2,2,2,2,2,4-Urban fringe of midsize city,4-Urban fringe of midsize city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,279,302,301,312,311,61,60,57,53,45,0,0,0,0,0,0,0,0,0,0,10,10,10,13,10,80,90,93,102,92,189,202,199,197,209,1859000,1913000,1730000,1848000,1731000,1472000,6663,6334,5563,6624,5732,4733,0,6136
UNION ISD,Texas,4843590,TERRY,1,2,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,151,155,115,100,105,20,14,8,13,13,1,0,0,0,0,0,0,0,0,0,103,88,57,58,64,0,0,0,0,0,47,67,58,42,41,1098000,953000,969000,951000,890000,1058000,7272,6148,9229,6298,5742,10076,0,6285
UNITED ISD,Texas,4843650,WEBB,27,22,19,16,14,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,19765,18528,16975,15372,13804,1568,1416,1223,921,806,21,20,19,5,5,125,111,101,104,87,18580,17386,15861,14291,12770,23,17,12,12,9,1016,994,1001,960,933,112968000,105356000,65491000,141282000,124520000,64226000,5716,5686,4744,7148,6721,4653,11,5015
UTOPIA ISD,Texas,4843680,UVALDE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,201,177,157,165,154,13,15,15,18,19,0,0,0,1,1,1,0,0,0,0,20,10,9,10,4,0,0,0,0,0,180,167,148,154,149,1396000,1197000,878000,1584000,992000,817000,6945,6763,5701,7881,5605,5305,0,5363
UVALDE CISD,Texas,4843720,UVALDE,10,10,10,10,9,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5371,5360,5277,5179,5080,521,530,520,466,417,3,3,2,4,4,18,14,12,8,7,4196,4189,4136,4025,3906,15,12,8,6,12,1139,1142,1135,1136,1151,31559000,26520000,21904000,30574000,25556000,20722000,5876,4948,4312,5685,4768,4079,12,5403
VALENTINE ISD,Texas,4843740,JEFF DAVIS,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,68,82,79,69,63,17,20,16,16,10,0,0,0,0,0,0,0,0,0,0,33,45,39,43,39,0,0,0,0,0,35,37,40,26,24,786000,755000,803000,676000,735000,634000,11559,9207,12746,9941,8963,10063,0,9559
VALLEY MILLS ISD,Texas,4843760,BOSQUE,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,497,510,516,481,528,79,69,69,67,68,1,2,0,1,1,1,1,2,2,3,41,41,38,38,39,30,27,29,32,35,424,439,448,408,449,3683000,3160000,2596000,3969000,3644000,2679000,7410,6196,4917,7851,7014,5074,0,6877
VALLEY VIEW ISD,Texas,4843800,HIDALGO,3,3,3,3,3,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1711,1651,1571,1549,1515,121,107,89,70,50,0,0,0,0,0,0,0,0,0,0,1710,1650,1572,1546,1511,0,0,0,1,1,1,1,1,2,2,11647000,9336000,7572000,10094000,8749000,6354000,6807,5655,4998,5890,5294,4194,53,5075
VALLEY VIEW ISD,Texas,4843860,COOKE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,602,569,573,619,560,64,57,51,60,42,4,5,5,5,3,2,2,2,0,0,42,41,42,48,37,0,0,0,0,0,554,521,524,566,520,3432000,3291000,3105000,2916000,3510000,2560000,5701,5784,5545,4844,6169,4571,3,4709
VAN ALSTYNE ISD,Texas,4843890,GRAYSON,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,873,875,864,836,817,143,143,147,135,119,4,5,6,4,4,4,4,9,6,4,47,51,49,47,47,24,30,30,22,29,794,785,771,757,732,5145000,4488000,3875000,4754000,4440000,3175000,5893,5129,4743,5439,5074,3886,0,4937
VAN ISD,Texas,4843920,VAN ZANDT,4,4,4,4,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1990,1960,1864,1853,1796,198,199,176,174,147,6,9,8,3,1,5,4,3,3,1,124,110,114,104,89,74,79,72,78,84,1781,1758,1669,1665,1621,9965000,9082000,7611000,9564000,8329000,8317000,5008,4634,4238,4804,4249,4631,0,4253
VAN VLECK ISD,Texas,4843950,MATAGORDA,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1038,1057,1035,1059,1050,144,127,123,110,107,0,1,0,0,0,0,0,0,0,2,169,178,185,171,169,245,263,267,288,283,624,615,583,600,596,7514000,6326000,5289000,6899000,5747000,5052000,7239,5985,5037,6631,5423,4811,2,5587
VEGA ISD,Texas,4843980,OLDHAM,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,329,339,328,342,324,47,44,48,38,39,6,2,4,5,4,1,1,1,1,1,65,64,60,64,50,0,0,0,0,0,257,272,263,272,269,3086000,2632000,2244000,3045000,2411000,1986000,9380,7764,6926,9255,7112,6130,0,7316
VENUS ISD,Texas,4844010,JOHNSON,3,3,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1090,1029,951,903,931,283,243,219,176,142,7,6,7,4,4,60,56,56,52,39,221,202,174,177,176,3,5,4,4,8,799,760,710,666,704,7745000,7103000,5075000,6767000,6743000,4872000,7106,6903,5451,6203,6537,5233,1,5563
VERIBEST ISD,Texas,4844040,TOM GREEN,2,2,1,2,1,4-Urban fringe of midsize city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,164,150,168,147,155,37,30,24,14,16,0,0,0,0,0,1,3,3,4,11,42,32,26,27,22,0,1,0,1,1,121,114,139,115,121,1211000,1016000,789000,991000,801000,760000,7384,6773,5090,6043,5340,4903,0,5439
VERNON ISD,Texas,4844110,WILBARGER,6,6,6,6,6,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2690,2645,2595,2533,2529,410,395,413,386,390,11,17,10,8,11,10,7,16,17,16,748,714,686,640,617,276,267,278,267,294,1645,1640,1605,1601,1591,13574000,12279000,11821000,12216000,11725000,10810000,5046,4642,4674,4538,4428,4274,0,4290
VICTORIA ISD,Texas,4844150,VICTORIA,23,22,22,21,19,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,14668,14582,14467,14448,14348,1834,1759,1761,1636,1464,12,13,10,9,9,96,86,77,69,54,7007,6911,6804,6716,6555,1168,1153,1132,1117,1102,6385,6419,6457,6537,6613,82486000,74680000,60286000,75787000,71745000,70297000,5624,5121,4202,5160,4920,4899,13,4980
VIDOR ISD,Texas,4844160,ORANGE,7,7,6,6,6,4-Urban fringe of midsize city,4-Urban fringe of midsize city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5709,5782,5665,5719,5631,1076,1024,849,710,665,5,4,1,1,1,5,5,5,7,12,121,140,137,131,125,25,20,1,1,0,5553,5613,5540,5579,5476,31131000,30234000,25489000,28531000,26747000,23013000,5453,5229,4527,4980,4614,4087,15,4743
VYSEHRAD ISD,Texas,4844250,LAVACA,1,1,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,78,78,83,71,59,14,15,13,12,6,0,0,0,0,0,0,0,0,0,0,2,4,4,1,1,0,0,0,0,0,76,74,79,70,58,720000,681000,361000,477000,426000,377000,9231,8731,6119,6115,5397,6390,0,5833
WACO ISD,Texas,4844280,MCLENNAN,31,29,30,26,25,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,15973,15564,14733,14915,14692,1551,1348,1208,1165,1155,7,9,7,7,5,85,86,85,86,90,5382,5049,4693,4518,4319,6510,6365,6105,6169,6099,3989,4055,3982,4135,4173,90298000,77818000,69333000,85658000,84263000,63751000,5653,5000,4719,5360,5411,4339,151,4976
WAELDER ISD,Texas,4844310,GONZALES,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,257,263,243,222,243,40,38,27,26,22,0,0,0,0,0,0,0,0,0,0,171,168,161,139,141,67,76,64,65,74,19,19,18,18,18,1891000,1762000,1798000,2018000,1763000,1483000,7358,6700,7399,7852,6703,6103,0,6825
WALCOTT ISD,Texas,4844370,DEAF SMITH,1,1,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,94,88,71,59,68,12,12,7,5,10,0,1,0,0,0,0,0,0,0,0,28,21,20,15,26,0,0,0,0,0,66,66,51,44,42,746000,738000,666000,729000,699000,504000,7936,8386,9794,7755,7943,7412,0,7181
WALL ISD,Texas,4844410,TOM GREEN,6,7,5,5,4,4-Urban fringe of midsize city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,850,813,813,754,760,121,123,130,121,112,3,2,1,1,0,1,2,2,2,6,182,174,174,167,150,2,2,1,0,2,662,633,639,584,596,6239000,7085000,4745000,10080000,8250000,5558000,7340,8715,6243,11859,10148,7313,0,10015
WALLER ISD,Texas,4844430,WALLER,5,5,5,5,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3321,3126,2958,2882,2839,332,301,283,267,232,8,7,7,4,1,36,24,25,17,15,582,499,431,387,371,653,663,663,669,645,2042,1933,1832,1805,1807,19401000,17474000,13668000,18291000,15841000,12947000,5842,5590,4814,5499,5066,4560,12,5018
WALNUT BEND ISD,Texas,4844490,COOKE,1,1,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,50,63,54,45,35,10,12,8,11,12,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,1,0,0,0,0,48,55,52,45,35,458000,465000,326000,454000,374000,280000,9160,7381,9314,8940,5810,8000,0,6700
WALNUT SPRINGS ISD,Texas,4844520,BOSQUE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,207,200,209,193,194,46,38,42,36,37,1,1,1,0,0,0,0,0,0,0,54,43,47,45,44,0,0,2,2,2,152,156,159,146,148,1266000,1248000,930000,1090000,1072000,727000,6116,6240,4794,5246,5360,3747,0,4995
WARREN ISD,Texas,4844580,TYLER,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1066,1042,1001,922,896,175,160,139,130,74,0,0,0,0,0,1,1,1,1,1,14,11,7,4,4,37,42,41,38,42,1014,988,954,879,849,5664000,5244000,4490000,5747000,5208000,4106000,5313,5033,5011,5390,4998,4583,0,5153
WASKOM ISD,Texas,4844670,HARRISON,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,819,833,810,849,793,92,78,80,90,78,1,1,1,0,0,1,1,1,0,1,48,35,29,24,22,216,215,218,218,214,553,581,561,607,554,4570000,4496000,4110000,5763000,4123000,3838000,5580,5397,5183,7037,4950,4840,0,5010
WATER VALLEY ISD,Texas,4844710,TOM GREEN,5,4,3,4,2,4-Urban fringe of midsize city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,398,394,374,349,340,79,77,81,54,49,14,13,3,3,2,0,0,0,0,0,54,47,43,41,37,0,2,1,0,0,330,332,327,305,297,3402000,2500000,2359000,2522000,2444000,1804000,8548,6345,6938,6226,6051,5306,0,5824
